,Unnamed: 0,year,day,part,status,output,expected_output,error,code,kpass
16,16,2015,6,1,runtime_error,,400410,"Traceback (most recent call last):
  File ""/tmp/tmp05gs7tgp/tmp.py"", line 5, in <module>
    action, start, end = line.split()
ValueError: too many values to unpack (expected 3)
","
with open('input.txt') as f:
    grid = [[False] * 1000 for _ in range(1000)]
    for line in f:
        action, start, end = line.split()
        start = tuple(map(int, start.split(',')))
        end = tuple(map(int, end.split(',')))
        for i in range(start[0], end[0] + 1):
            for j in range(start[1], end[1] + 1):
                if action == 'turn on':
                    grid[i][j] = True
                elif action == 'turn off':
                    grid[i][j] = False
                elif action == 'toggle':
                    grid[i][j] = not grid[i][j]
    print(sum(sum(row) for row in grid))
",2.0
17,17,2015,6,2,part1_failed,,15343601,,,
18,18,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmp6aj1ds44/tmp.py"", line 15, in <module>
    print(get_signal('a'))
  File ""/tmp/tmp6aj1ds44/tmp.py"", line 6, in get_signal
    output, op, inputs = instruction.split(' -> ')
ValueError: not enough values to unpack (expected 3, got 2)
","
def get_signal(wire):
    if wire in signals:
        return signals[wire]
    for instruction in instructions:
        output, op, inputs = instruction.split(' -> ')
        if output == wire:
            signals[wire] = eval(op.join(map(get_signal, inputs)))
            return signals[wire]

with open('input.txt') as f:
    instructions = [line.strip() for line in f]

signals = {}
print(get_signal('a'))
",2.0
19,19,2015,7,2,part1_failed,,14134,,,
20,20,2015,8,1,no_error,"1371
",1371,,"
with open('input.txt') as f:
    total_code_chars = 0
    total_string_chars = 0
    for line in f:
        line = line.strip()
        total_code_chars += len(line)
        total_string_chars += len(eval(line))
    print(total_code_chars - total_string_chars)
",0.0
21,21,2015,8,2,wrong_output,"1256
",2117,,"
with open('input.txt') as f:
    total_code_chars = 0
    total_encoded_chars = 0
    for line in f:
        line = line.strip()
        total_code_chars += len(line)
        total_encoded_chars += len(repr(line))
    print(total_encoded_chars - total_code_chars)
",2.0
22,22,2015,9,1,runtime_error,,251,"Traceback (most recent call last):
  File ""/tmp/tmp3h823hcm/tmp.py"", line 7, in <module>
    a, b, d = line.split()
ValueError: too many values to unpack (expected 3)
","
# Read the input file
with open('input.txt', 'r') as f:
    distances = {}
    for line in f:
        # Parse the line
        a, b, d = line.split()
        # Add the distance to the dictionary
        distances[(a, b)] = int(d)

# Find all possible routes
routes = []
for a in distances:
    for b in distances:
        if a != b and (a, b) not in distances and (b, a) not in distances:
            routes.append([a, b])

# Find the shortest route
shortest_route = None
shortest_distance = float('inf')
for route in routes:
    distance = 0
    for i in range(len(route) - 1):
        distance += distances[(route[i], route[i + 1])]
    if distance < shortest_distance:
        shortest_route = route
        shortest_distance = distance

# Print the shortest route and distance
print('Shortest route:', shortest_route)
print('Shortest distance:', shortest_distance)
",2.0
23,23,2015,9,2,part1_failed,,898,,,
24,24,2015,10,1,no_error,"329356
",329356,,"
def look_and_say(s):
    result = """"
    i = 0
    while i < len(s):
        count = 1
        while i + 1 < len(s) and s[i] == s[i + 1]:
            count += 1
            i += 1
        result += str(count) + s[i]
        i += 1
    return result

def main():
    with open(""input.txt"", ""r"") as f:
        s = f.read().strip()
    for i in range(40):
        s = look_and_say(s)
    print(len(s))

if __name__ == ""__main__"":
    main()
",0.0
25,25,2015,10,2,no_error,"4666278
",4666278,,"
def look_and_say(s):
    result = """"
    i = 0
    while i < len(s):
        count = 1
        while i + 1 < len(s) and s[i] == s[i + 1]:
            count += 1
            i += 1
        result += str(count) + s[i]
        i += 1
    return result

def main():
    with open(""input.txt"", ""r"") as f:
        s = f.read().strip()
    for i in range(50):
        s = look_and_say(s)
    print(len(s))

if __name__ == ""__main__"":
    main()
",0.0
28,28,2015,11,1,runtime_error,,vzbxxyzz,"  File ""/tmp/tmpqe3yciya/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def increment_password(password):
    # Convert the password to a list of characters.
    password_list = list(password)

    # Increment the rightmost character.
    for i in range(len(password_list) - 1, -1, -1):
        if password_list[i] != 'z':
            password_list[i] = chr(ord(password_list[i]) + 1)
            break

    # If the rightmost character was 'z', increment the next character to the left.
    if password_list[0] == 'z':
        password_list[0] = 'a'
        password_list[1] = chr(ord(password_list[1]) + 1)

    # Convert the list of characters back to a string.
    return ''.join(password_list)


def is_valid_password(password):
    # Check if the password contains one increasing straight of at least three letters.
    for i in range(len(password) - 2):
        if password[i] == chr(ord(password[i + 1]) -",2.0
29,29,2015,11,2,part1_failed,,vzcaabcc,,,
30,30,2015,12,1,no_error,"111754
",111754,,"
import json

def sum_numbers(obj):
    if isinstance(obj, int):
        return obj
    elif isinstance(obj, list):
        return sum(sum_numbers(item) for item in obj)
    elif isinstance(obj, dict):
        return sum(sum_numbers(value) for value in obj.values())
    else:
        return 0

with open('input.txt') as f:
    data = json.load(f)

print(sum_numbers(data))
",0.0
31,31,2015,12,2,no_error,"65402
",65402,,"
import json

def sum_numbers(obj):
    if isinstance(obj, int):
        return obj
    elif isinstance(obj, list):
        return sum(sum_numbers(item) for item in obj)
    elif isinstance(obj, dict):
        if any(value == ""red"" for value in obj.values()):
            return 0
        else:
            return sum(sum_numbers(value) for value in obj.values())
    else:
        return 0

with open('input.txt') as f:
    data = json.load(f)

print(sum_numbers(data))
",0.0
34,34,2015,13,1,runtime_error,,733,"  File ""/tmp/tmp9nwbqoxp/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_happiness_change(seating_arrangement):
    happiness_change = 0
    for i in range(len(seating_arrangement)):
        happiness_change += happiness[seating_arrangement[i]][seating_arrangement[(i + 1) % len(seating_arrangement)]]
        happiness_change += happiness[seating_arrangement[(i + 1) % len(seating_arrangement)]][seating_arrangement[i]]
    return happiness_change

def get_optimal_seating_arrangement(guests):
    max_happiness_change = -float('inf')
    optimal_seating_arrangement = None
    for seating_arrangement in itertools.permutations(guests):
        happiness_change = get_happiness_change(seating_arrangement)
        if happiness_change > max_happiness_change:
            max_happiness_change = happiness_change
            optimal_seating_arrangement = seating_arrangement
    return optimal_seating_arrangement

with open('input.txt') as f:
    happiness = {}
    guests = set()
    for line in f:
        guest1",2.0
35,35,2015,13,2,part1_failed,,725,,,
36,36,2015,14,1,timeout_error,,2655,TIMEOUT,"
import fileinput

def parse_reindeer(line):
    name, speed, duration, rest = line.split()
    return name, int(speed), int(duration), int(rest)

def race(reindeer, seconds):
    distance = 0
    for name, speed, duration, rest in reindeer:
        time = 0
        while time < seconds:
            if time % (duration + rest) < duration:
                distance += speed
            time += 1
    return distance

reindeer = [parse_reindeer(line) for line in fileinput.input()]
print(max(race(reindeer, 2503) for reindeer in reindeer))
",2.0
37,37,2015,14,2,part1_failed,,1059,,,
38,38,2015,15,1,runtime_error,,21367368,"  File ""/tmp/tmp9fmee70h/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_max_score(ingredients):
    max_score = 0
    for i in range(101):
        for j in range(101 - i):
            for k in range(101 - i - j):
                l = 100 - i - j - k
                if l < 0:
                    continue
                score = 0
                for prop in range(4):
                    score += (ingredients[0][prop] * i + ingredients[1][prop] * j +
                              ingredients[2][prop] * k + ingredients[3][prop] * l)
                    if score < 0:
                        score = 0
                score *= (ingredients[0][4] * i + ingredients[1][4] * j +
                          ingredients[2][4] * k + ingredients[3][4] * l)
                if score > max_score:
                    max_score = score
    return max_score


if __name__ == ""__main__"":
    with open(""input.txt"") as f:
        ingredients = []
        for line in f:
            ",2.0
39,39,2015,15,2,part1_failed,,1766400,,,
40,40,2015,16,1,runtime_error,,40,"  File ""/tmp/tmppm0a5416/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_sue_number(input_file):
  with open(input_file, 'r') as f:
    sues = [line.strip() for line in f.readlines()]

  # Parse the input into a dictionary of Sue numbers to their characteristics.
  sue_characteristics = {}
  for sue in sues:
    sue_number = int(sue.split(' ')[1][:-1])
    characteristics = {
        characteristic.split(':')[0]: int(characteristic.split(':')[1])
        for characteristic in sue.split(' ')[2:]
    }
    sue_characteristics[sue_number] = characteristics

  # Find the Sue that gave the gift.
  gift_characteristics = {
      'children': 3,
      'cats': 7,
      'samoyeds': 2,
      'pomeranians': 3,
      'akitas': 0,
      'vizslas': 0,
      'goldfish': 5,
      'trees': 3,
      'cars': 2,
      'perfumes': 1,
  }
",2.0
41,41,2015,16,2,part1_failed,,241,,,
42,42,2015,17,1,runtime_error,,1638,"  File ""/tmp/tmppww075zv/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def count_combinations(capacities, target):
    # Initialize a memoization table to store the number of combinations
    # for each capacity up to the target capacity.
    memo = [0] * (target + 1)

    # Initialize the memoization table for the base case, where the
    # target capacity is 0.
    memo[0] = 1

    # Iterate over all the capacities in the given list.
    for capacity in capacities:
        # Iterate over all the possible target capacities up to the
        # current capacity.
        for i in range(capacity, target + 1):
            # Update the number of combinations for the current target
            # capacity by adding the number of combinations for the
            # previous target capacity and the number of combinations
            # for the current target capacity using the current capacity.
            memo[i] += memo[i - capacity]

    # Return the number of combinations for the target capacity.
    return memo[target]


# Read the input from the file.
with open(""input.txt"") as f:
    capacities = [int(line) for line in f]

",2.0
43,43,2015,17,2,part1_failed,,17,,,
44,44,2015,18,1,runtime_error,,814,"  File ""/tmp/tmpu8hqdsbb/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
with open('input.txt') as f:
    grid = [list(line.strip()) for line in f.readlines()]

def count_neighbors(grid, x, y):
    count = 0
    for i in range(max(0, x-1), min(x+2, len(grid))):
        for j in range(max(0, y-1), min(y+2, len(grid[0]))):
            if grid[i][j] == '#' and (i != x or j != y):
                count += 1
    return count

def step(grid):
    new_grid = [['.' for _ in range(len(grid[0]))] for _ in range(len(grid))]
    for i in range(len(grid)):
        for j in range(len(grid[0])):
            neighbors = count_neighbors(grid, i, j)
            if grid[i][j] == '#':
                new_grid[i][j] = '#' if neighbors == 2 or neighbors == 3 else '.'
            else:
                new_grid[i][j",2.0
45,45,2015,18,2,part1_failed,,924,,,
46,46,2015,19,1,no_error,"518
",518,,"
from collections import defaultdict

def parse_input(filename):
    with open(filename) as f:
        replacements, medicine = f.read().split('\n\n')
    replacements = [line.split(' => ') for line in replacements.splitlines()]
    return replacements, medicine

def generate_molecules(replacements, medicine):
    molecules = set()
    for old, new in replacements:
        for i in range(len(medicine)):
            if medicine[i:i+len(old)] == old:
                molecules.add(medicine[:i] + new + medicine[i+len(old):])
    return molecules

def main():
    replacements, medicine = parse_input('input.txt')
    molecules = generate_molecules(replacements, medicine)
    print(len(molecules))

if __name__ == '__main__':
    main()
",0.0
47,47,2015,19,2,runtime_error,,200,"  File ""/tmp/tmp5jeff64r/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from collections import defaultdict

def parse_input(filename):
    with open(filename) as f:
        replacements, medicine = f.read().split('\n\n')
    replacements = [line.split(' => ') for line in replacements.splitlines()]
    return replacements, medicine

def generate_molecules(replacements, medicine):
    molecules = set()
    for old, new in replacements:
        for i in range(len(medicine)):
            if medicine[i:i+len(old)] == old:
                molecules.add(medicine[:i] + new + medicine[i+len(old):])
    return molecules

def find_shortest_path(replacements, medicine):
    queue = [('e', 0)]
    visited = set()
    while queue:
        molecule, steps = queue.pop(0)
        if molecule == medicine:
            return steps
        if molecule not in visited:
            visited.add(molecule)
            for new_molecule in generate_molecules(replacements, molecule):
                queue.append((new_molecule, steps + 1))
    return -1",2.0
48,48,2015,20,1,timeout_error,,776160,TIMEOUT,"
def get_presents(house_number):
  """"""Returns the number of presents for a given house number.""""""
  presents = 0
  for elf in range(1, house_number + 1):
    if house_number % elf == 0:
      presents += elf * 10
  return presents

with open(""input.txt"", ""r"") as f:
  puzzle_input = int(f.read())

house_number = 1
while get_presents(house_number) < puzzle_input:
  house_number += 1

print(house_number)
",2.0
49,49,2015,20,2,part1_failed,,786240,,,
50,50,2015,21,1,runtime_error,,78,"  File ""/tmp/tmpxnppv6l0/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import sys

def main():
    # Read the boss's stats from the input file
    with open('input.txt', 'r') as f:
        boss_hp, boss_damage, boss_armor = map(int, f.readlines())

    # Initialize the player's stats
    player_hp = 100
    player_damage = 0
    player_armor = 0
    gold_spent = 0

    # Buy the best weapon
    weapons = [('Dagger', 8, 4, 0), ('Shortsword', 10, 5, 0), ('Warhammer', 25, 6, 0), ('Longsword', 40, 7, 0), ('Greataxe', 74, 8, 0)]
    best_weapon = max(weapons, key=lambda w: w[2] - boss_armor)
    player_damage += best_weapon[2]
    gold_spent += best_weapon[1]

    # Buy the best armor
    armor = [('Leather', 13, 0, 1),",2.0
51,51,2015,21,2,part1_failed,,148,,,
52,52,2015,22,1,runtime_error,,953,"  File ""/tmp/tmpjo_dj4u9/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from collections import namedtuple
from itertools import product

Spell = namedtuple('Spell', 'name cost damage heal armor effect_turns effect_damage effect_heal effect_armor')

SPELLS = [
    Spell('Magic Missile', 53, 4, 0, 0, 0, 0, 0, 0),
    Spell('Drain', 73, 2, 2, 0, 0, 0, 0, 0),
    Spell('Shield', 113, 0, 0, 7, 6, 0, 0, 0),
    Spell('Poison', 173, 0, 0, 0, 6, 3, 0, 0),
    Spell('Recharge', 229, 0, 0, 0, 5, 0, 101, 0),
]

def parse_input(filename):
    with open(filename) as f:
        lines = f.readlines()
    boss_hp = int(lines[0].split(':')[1])
    boss_damage",2.0
53,53,2015,22,2,part1_failed,,1289,,,
54,54,2015,23,1,runtime_error,,307,"Traceback (most recent call last):
  File ""/tmp/tmpurkv2oga/tmp.py"", line 8, in <module>
    instruction, arg = program[pc].split()
ValueError: too many values to unpack (expected 2)
","
with open('input.txt') as f:
    program = [line.strip() for line in f]

registers = {'a': 0, 'b': 0}
pc = 0
while pc < len(program):
    instruction, arg = program[pc].split()
    if instruction == 'hlf':
        registers[arg] //= 2
        pc += 1
    elif instruction == 'tpl':
        registers[arg] *= 3
        pc += 1
    elif instruction == 'inc':
        registers[arg] += 1
        pc += 1
    elif instruction == 'jmp':
        pc += int(arg)
    elif instruction == 'jie' and registers[arg] % 2 == 0:
        pc += int(arg)
    elif instruction == 'jio' and registers[arg] == 1:
        pc += int(arg)
    else:
        break

print(registers['b'])
",2.0
55,55,2015,23,2,part1_failed,,160,,,
56,56,2015,24,1,runtime_error,,10439961859,"  File ""/tmp/tmpo75dz21l/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def quantum_entanglement(weights):
    # Sort the weights in descending order
    weights.sort(reverse=True)

    # Find the minimum number of packages that can be put in the first group
    min_packages = len(weights) // 3

    # Find all the ways to put the minimum number of packages in the first group
    groups = []
    for i in range(min_packages):
        groups.append([weights[i]])

    # Add the remaining packages to the other two groups
    for i in range(min_packages, len(weights)):
        groups[1].append(weights[i])
        groups[2].append(weights[i])

    # Calculate the quantum entanglement of each group
    entanglements = []
    for group in groups:
        entanglements.append(math.prod(group))

    # Return the smallest quantum entanglement
    return min(entanglements)


if __name__ == ""__main__"":
    with open(""input.txt"", ""r"") as f:
        weights = [int(line.strip()) for line in f.readlines()]

    print(",2.0
57,57,2015,24,2,part1_failed,,72050269,,,
58,58,2015,25,1,timeout_error,,9132360,TIMEOUT,"
def get_code(row, col):
    code = 20151125
    for _ in range(1, row * col):
        code = (code * 252533) % 33554393
    return code

row, col = map(int, input().split(','))
print(get_code(row, col))
",2.0
59,59,2015,25,2,part1_failed,,,,,
60,60,2016,1,1,wrong_output,"0
",287,,"
def get_distance(directions):
    x, y = 0, 0
    for direction in directions:
        if direction == 'R':
            x += 1
        elif direction == 'L':
            x -= 1
        elif direction == 'U':
            y += 1
        elif direction == 'D':
            y -= 1
    return abs(x) + abs(y)

with open('input.txt') as f:
    directions = f.read().strip().split(',')
    print(get_distance(directions))
",2.0
61,61,2016,1,2,part1_failed,,133,,,
62,62,2016,2,1,runtime_error,,12578,"  File ""/tmp/tmp35cliwyf/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def get_bathroom_code(instructions):
    keypad = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
    code = """"
    current_button = [1, 1]
    for line in instructions.splitlines():
        for move in line:
            if move == ""U"" and current_button[0] > 0:
                current_button[0] -= 1
            elif move == ""D"" and current_button[0] < 2:
                current_button[0] += 1
            elif move == ""L"" and current_button[1] > 0:
                current_button[1] -= 1
            elif move == ""R"" and current_button[1] < 2:
                current_button[1] += 1
        code += str(keypad[current_button[0]][current_button[1]])
    return code


if __name__ == ""__main__"":
    with open(""input.txt"") as f:
        instructions = f.read()
    print(get",2.0
63,63,2016,2,2,part1_failed,,516DD,,,
64,64,2016,3,1,no_error,"993
",993,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",0.0
65,65,2016,3,2,wrong_output,"993
",1849,,"
with open('input.txt') as f:
    count = 0
    for line in f:
        a, b, c = map(int, line.split())
        if a + b > c and a + c > b and b + c > a:
            count += 1
    print(count)
",2.0
66,66,2016,4,1,runtime_error,,245102,"Traceback (most recent call last):
  File ""/tmp/tmpda9k75sk/tmp.py"", line 21, in <module>
    main()
  File ""/tmp/tmpda9k75sk/tmp.py"", line 16, in main
    real_rooms = [room for room in rooms if is_real_room(room)]
  File ""/tmp/tmpda9k75sk/tmp.py"", line 16, in <listcomp>
    real_rooms = [room for room in rooms if is_real_room(room)]
  File ""/tmp/tmpda9k75sk/tmp.py"", line 6, in is_real_room
    name, sector_id, checksum = room.split('-')
ValueError: too many values to unpack (expected 3)
","
import collections
import re

def is_real_room(room):
    name, sector_id, checksum = room.split('-')
    sector_id = int(sector_id)
    counts = collections.Counter(name)
    most_common = sorted(counts.items(), key=lambda x: (-x[1], x[0]))
    most_common = [c[0] for c in most_common[:5]]
    return ''.join(most_common) == checksum

def main():
    with open('input.txt') as f:
        rooms = f.read().splitlines()
    real_rooms = [room for room in rooms if is_real_room(room)]
    sector_ids = [int(room.split('-')[1]) for room in real_rooms]
    print(sum(sector_ids))

if __name__ == '__main__':
    main()
",2.0
67,67,2016,4,2,part1_failed,,324,,,
68,68,2016,5,1,wrong_output,"0bd689cc
",1a3099aa,,"
import hashlib

def md5(s):
    return hashlib.md5(s.encode('utf-8')).hexdigest()

def find_password(door_id):
    password = ''
    i = 0
    while len(password) < 8:
        hash = md5(door_id + str(i))
        if hash[:5] == '00000':
            password += hash[5]
        i += 1
    return password

if __name__ == '__main__':
    door_id = 'ffykfhsqb'
    password = find_password(door_id)
    print(password)
",2.0
69,69,2016,5,2,part1_failed,,694190cd,,,
70,70,2016,6,1,no_error,"ygjzvzib
",ygjzvzib,,"
import collections

with open('input.txt') as f:
    lines = f.readlines()

# Transpose the lines
transposed = [''.join(line[i] for line in lines) for i in range(len(lines[0]) - 1)]

# Find the most common character in each column
most_common = [collections.Counter(column).most_common(1)[0][0] for column in transposed]

# Print the most common characters
print(''.join(most_common))
",0.0
71,71,2016,6,2,no_error,"pdesmnoz
",pdesmnoz,,"
import collections

with open('input.txt') as f:
    lines = f.readlines()

# Transpose the lines
transposed = [''.join(line[i] for line in lines) for i in range(len(lines[0]) - 1)]

# Find the least common character in each column
least_common = [collections.Counter(column).most_common()[-1][0] for column in transposed]

# Print the least common characters
print(''.join(least_common))
",0.0
74,74,2016,7,1,wrong_output,"0
",115,,"
import re

def supports_tls(ip):
    abba = re.compile(r'(.)(.)\2\1')
    hypernet = re.compile(r'\[.*?\]')
    return abba.search(ip) and not hypernet.search(ip)

with open('input.txt') as f:
    ips = f.readlines()

print(len([ip for ip in ips if supports_tls(ip)]))
",2.0
75,75,2016,7,2,part1_failed,,231,,,
76,76,2016,8,1,runtime_error,,115,"  File ""/tmp/tmpnx6a7r9q/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import re

def parse_instruction(instruction):
    match = re.match(r'rect (\d+)x(\d+)', instruction)
    if match:
        return ('rect', int(match.group(1)), int(match.group(2)))
    match = re.match(r'rotate row y=(\d+) by (\d+)', instruction)
    if match:
        return ('row', int(match.group(1)), int(match.group(2)))
    match = re.match(r'rotate column x=(\d+) by (\d+)', instruction)
    if match:
        return ('column', int(match.group(1)), int(match.group(2)))
    raise ValueError('Invalid instruction: {}'.format(instruction))

def execute_instruction(instruction, screen):
    if instruction[0] == 'rect':
        for i in range(instruction[1]):
            for j in range(instruction[2]):
                screen[i][j] = True
    elif instruction[0] == 'row':
        for i in range(len(screen[instruction[1]])):
            ",2.0
77,77,2016,8,2,part1_failed,,"####.####.####.#...##..#.####.###..####..###...##.
#....#....#....#...##.#..#....#..#.#......#.....#.
###..###..###...#.#.##...###..#..#.###....#.....#.
#....#....#......#..#.#..#....###..#......#.....#.
#....#....#......#..#.#..#....#.#..#......#..#..#.
####.#....####...#..#..#.#....#..#.#.....###..##..",,,
78,78,2016,9,1,no_error,"102239
",102239,,"
def decompress(compressed):
    decompressed = """"
    i = 0
    while i < len(compressed):
        if compressed[i] == ""("":
            marker_end = compressed.find("")"", i)
            marker = compressed[i+1:marker_end]
            repeat_count = int(marker.split(""x"")[0])
            repeat_data = compressed[marker_end+1:marker_end+1+repeat_count]
            decompressed += repeat_data * int(marker.split(""x"")[1])
            i = marker_end + 1 + repeat_count
        else:
            decompressed += compressed[i]
            i += 1
    return decompressed

with open(""input.txt"", ""r"") as f:
    compressed = f.read()

decompressed = decompress(compressed)
print(len(decompressed.replace("" "", """")))
",0.0
79,79,2016,9,2,no_error,"10780403063
",10780403063,,"
def decompress(compressed):
    decompressed = """"
    i = 0
    while i < len(compressed):
        if compressed[i] == ""("":
            marker_end = compressed.find("")"", i)
            marker = compressed[i+1:marker_end]
            repeat_count = int(marker.split(""x"")[0])
            repeat_data = compressed[marker_end+1:marker_end+1+repeat_count]
            decompressed += decompress(repeat_data) * int(marker.split(""x"")[1])
            i = marker_end + 1 + repeat_count
        else:
            decompressed += compressed[i]
            i += 1
    return decompressed

with open(""input.txt"", ""r"") as f:
    compressed = f.read()

print(len(decompress(compressed).replace("" "", """")))
",0.0
82,82,2016,10,1,runtime_error,,118,"  File ""/tmp/tmp2baegz9u/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
import re

def parse_instruction(instruction):
    match = re.match(r'value (\d+) goes to bot (\d+)', instruction)
    if match:
        return ('value', int(match.group(1)), int(match.group(2)))
    match = re.match(r'bot (\d+) gives low to (\w+) (\d+) and high to (\w+) (\d+)', instruction)
    if match:
        return ('bot', int(match.group(1)), match.group(2), int(match.group(3)), match.group(4), int(match.group(5)))
    raise ValueError('Invalid instruction: {}'.format(instruction))

def execute_instruction(instruction, bots, outputs):
    if instruction[0] == 'value':
        bots[instruction[2]].append(instruction[1])
    elif instruction[0] == 'bot':
        if len(bots[instruction[1]]) == 2:
            low, high = sorted(bots[instruction[1]])
            if instruction[2] == 'bot':
                bots[instruction[3]].append(",2.0
83,83,2016,10,2,part1_failed,,143153,,,
84,84,2016,11,1,runtime_error,,37,"  File ""/tmp/tmp_9d1s_ij/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from collections import defaultdict, deque

def parse_input(input_str):
    floors = defaultdict(list)
    for line in input_str.splitlines():
        floor, items = line.split(': ')
        items = items.split(', ')
        floors[int(floor)] += items
    return floors

def is_valid_state(floors):
    for floor in floors.values():
        for item in floor:
            if item.endswith('M'):
                if any(other.endswith('G') and other != item[:-1] for other in floor):
                    return False
    return True

def get_possible_moves(floors):
    moves = []
    for floor, items in floors.items():
        for item in items:
            if item.endswith('M'):
                for other_floor in range(1, 5):
                    if other_floor != floor and is_valid_state({**floors, floor: [i for i in items if i != item], other_floor: [item] + floors[other_floor]}):
                        moves.append((floor, other_floor, item))
            ",2.0
85,85,2016,11,2,part1_failed,,61,,,
