,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
17,17,12,no_error,"76576500
",76576500,,"
def highly_divisible_triangular_number(n):
    """"""Returns the first triangle number with over n divisors.""""""
    tri = 0
    i = 1
    while True:
        tri += i
        if len(divisors(tri)) > n:
            return tri
        i += 1

def divisors(n):
    """"""Returns the list of divisors of n.""""""
    divisors = []
    for i in range(1, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors.append(i)
            if i != n // i:
                divisors.append(n // i)
    return divisors

print(highly_divisible_triangular_number(500))
",5
19,19,13,wrong_output,,5537376230,,"
def large_sum(numbers):
    # Convert the list of strings to a list of integers
    numbers = [int(number) for number in numbers]

    # Initialize the sum to 0
    sum = 0

    # Add each number to the sum
    for number in numbers:
        sum += number

    # Return the first 10 digits of the sum
    return str(sum)[:10]
",5
20,20,14,no_error,"837799
",837799,,"
def collatz(n):
    yield n
    while n > 1:
        n = 3 * n + 1 if n % 2 else n // 2
        yield n

def longest_collatz(n):
    return max(range(1, n), key=lambda x: len(list(collatz(x))))

print(longest_collatz(1000000))
",5
23,23,15,wrong_output,"0
",137846528820,,"
def lattice_paths(n):
    """"""Returns the number of lattice paths in an n x n grid.""""""
    # Initialize a 2D grid with all values set to 0.
    grid = [[0] * n for _ in range(n)]

    # Set the starting point to 1.
    grid[0][0] = 1

    # Iterate over each cell in the grid.
    for i in range(n):
        for j in range(n):
            # If the current cell is not the starting point,
            # add the values of the cells above and to the left.
            if i > 0 and j > 0:
                grid[i][j] = grid[i - 1][j] + grid[i][j - 1]

    # Return the value of the bottom right cell.
    return grid[n - 1][n - 1]


print(lattice_paths(20))
",5
24,24,16,wrong_output,"3
",1366,,"
def sum_of_digits(n):
    sum = 0
    while n > 0:
        sum += n % 10
        n //= 10
    return sum

print(sum_of_digits(21000))
",5
25,25,17,runtime_error,,21124,"  File ""/tmp/tmpipa1li17/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def count_letters(n):
    if n < 0:
        raise ValueError(""n must be non-negative"")

    # Special cases
    if n == 0:
        return 0
    elif n == 1:
        return 3
    elif n == 2:
        return 3
    elif n == 3:
        return 5
    elif n == 4:
        return 4
    elif n == 5:
        return 4
    elif n == 6:
        return 3
    elif n == 7:
        return 5
    elif n == 8:
        return 5
    elif n == 9:
        return 4
    elif n == 10:
        return 3
    elif n == 11:
        return 6
    elif n == 12:
        return 6
    elif n == 13:
        return 8
    elif n == 14:
        return 8
    elif n == 15:
        return 7
    elif n == 1",5
26,26,18,wrong_output,,1074,,"
def max_path_sum(pyramid):
    """"""Finds the maximum total from top to bottom of a pyramid.

    Args:
        pyramid (list): A list of lists of integers representing the pyramid.

    Returns:
        int: The maximum total from top to bottom of the pyramid.
    """"""

    # Start at the bottom of the pyramid and work our way up.
    for i in range(len(pyramid) - 2, -1, -1):
        for j in range(i + 1):
            # The maximum total for this cell is the sum of the cell's value
            # and the maximum total of the two cells below it.
            pyramid[i][j] += max(pyramid[i + 1][j], pyramid[i + 1][j + 1])

    # The maximum total from top to bottom of the pyramid is the value of the
    # top cell.
    return pyramid[0][0]
",5
27,27,19,runtime_error,,171,"  File ""/tmp/tmpwm1fwdhd/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def count_sundays(start_year, end_year):
  """"""Counts the number of Sundays that fall on the first of the month
  between start_year and end_year, inclusive.

  Args:
    start_year: The starting year, inclusive.
    end_year: The ending year, inclusive.

  Returns:
    The number of Sundays that fall on the first of the month between
    start_year and end_year, inclusive.
  """"""

  # Initialize the count of Sundays.
  count = 0

  # Loop through each year from start_year to end_year.
  for year in range(start_year, end_year + 1):
    # Loop through each month from January to December.
    for month in range(1, 13):
      # Get the day of the week for the first day of the month.
      day_of_week = datetime.date(year, month, 1).weekday()

      # If the first day of the month is a Sunday, increment the count.
      if day_of_week == 6:
        count += 1",5
28,28,20,no_error,"648
",648,,"
def factorial_digit_sum(n):
    factorial = 1
    for i in range(2, n + 1):
        factorial *= i
    return sum(int(digit) for digit in str(factorial))

print(factorial_digit_sum(100))
",5
31,31,21,wrong_output,"0
",31626,,"
def sum_amicable_numbers(n):
    amicable_numbers = set()
    for i in range(2, n):
        j = sum(proper_divisors(i))
        if j < n and i == sum(proper_divisors(j)):
            amicable_numbers.add(i)
            amicable_numbers.add(j)
    return sum(amicable_numbers)

def proper_divisors(n):
    divisors = set()
    for i in range(1, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors.add(i)
            divisors.add(n // i)
    return divisors

print(sum_amicable_numbers(10000))
",5
32,32,23,wrong_output,"1186368755
",4179871,,"
def sum_of_non_abundant_sums(limit):
    abundant_numbers = set()
    for i in range(1, limit + 1):
        if sum(proper_divisors(i)) > i:
            abundant_numbers.add(i)

    non_abundant_sums = set()
    for i in range(1, limit + 1):
        for j in range(i, limit + 1):
            if i + j in abundant_numbers:
                break
            else:
                non_abundant_sums.add(i + j)

    return sum(non_abundant_sums)


def proper_divisors(n):
    divisors = set()
    for i in range(1, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors.add(i)
            divisors.add(n // i)
    return divisors


if __name__ == ""__main__"":
    print(sum_of_non_abundant_sums(28123))
",5
33,33,24,no_error,"2783915460
",2783915460,,"
from itertools import permutations

def millionth_permutation(n):
    return ''.join(map(str, list(permutations(range(n)))[999999]))

print(millionth_permutation(10))
",5
34,34,25,wrong_output,"4783
",4782,,"
def fib_index_1000_digits():
    a, b = 1, 1
    index = 2
    while len(str(a)) < 1000:
        a, b = b, a + b
        index += 1
    return index

print(fib_index_1000_digits())
",5
35,35,26,wrong_output,,983,,"
def longest_recurring_cycle(n):
    max_len = 0
    max_d = 0
    for d in range(2, n):
        frac = 1 / d
        frac_str = str(frac)
        cycle_start = frac_str.find('(')
        if cycle_start != -1:
            cycle_len = len(frac_str) - cycle_start - 1
            if cycle_len > max_len:
                max_len = cycle_len
                max_d = d
    return max_d
",5
36,36,27,no_error,"-59231
",-59231,,"
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def quadratic_primes(a, b):
    n = 0
    while is_prime(n ** 2 + a * n + b):
        n += 1
    return n

def main():
    max_n = 0
    max_a = 0
    max_b = 0
    for a in range(-1000, 1001):
        for b in range(-1000, 1001):
            n = quadratic_primes(a, b)
            if n > max_n:
                max_n = n
                max_a = a
                max_b = b
    print(max_a * max_b)

if __name__ == ""__main__"":
    main()
",5
39,39,28,runtime_error,,669171001,"  File ""/tmp/tmp157svipu/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def spiral_diagonals_sum(n):
    """"""
    Returns the sum of the numbers on the diagonals of an n x n spiral.

    Args:
        n (int): The size of the spiral.

    Returns:
        int: The sum of the numbers on the diagonals.
    """"""

    # Initialize the spiral.
    spiral = [[0 for _ in range(n)] for _ in range(n)]

    # Fill the spiral with numbers.
    i = 0
    j = 0
    direction = ""right""
    for k in range(1, n * n + 1):
        spiral[i][j] = k
        if direction == ""right"":
            if j == n - 1 or spiral[i][j + 1] != 0:
                direction = ""down""
                i += 1
            else:
                j += 1
        elif direction == ""down"":
            if i == n - 1 or spiral[i + 1][j] != 0:
                direction = ""left""
                j -= 1
            else:
                ",5
40,40,29,no_error,9183,9183,,"
def distinct_powers(a_min, a_max, b_min, b_max):
  """"""Returns the number of distinct terms in the sequence ab for a in [a_min, a_max] and b in [b_min, b_max].""""""

  # Create a set to store the distinct terms.
  terms = set()

  # Iterate over all combinations of a and b in the given ranges.
  for a in range(a_min, a_max + 1):
    for b in range(b_min, b_max + 1):
      # Add the term ab to the set.
      terms.add(a ** b)

  # Return the number of distinct terms.
  return len(terms)


if __name__ == ""__main__"":
  # Print the number of distinct terms for the given ranges.
  print(distinct_powers(2, 5, 2, 5))  # 15
  print(distinct_powers(2, 100, 2, 100))  # 9183
",5
43,43,30,wrong_output,,443839,,"
def sum_of_fifth_powers(n):
  """"""
  Finds the sum of all the numbers that can be written as the sum of the fifth powers of their digits.

  Args:
    n: The upper bound on the numbers to consider.

  Returns:
    The sum of all the numbers that can be written as the sum of the fifth powers of their digits.
  """"""

  # Find all the numbers that can be written as the sum of the fifth powers of their digits.

  numbers = []
  for i in range(2, n + 1):
    if i == sum(int(digit) ** 5 for digit in str(i)):
      numbers.append(i)

  # Return the sum of the numbers.

  return sum(numbers)
",5
44,44,31,no_error,"73682
",73682,,"
def count_ways(amount, coins):
    ways = [1] + [0] * amount
    for coin in coins:
        for i in range(coin, amount + 1):
            ways[i] += ways[i - coin]
    return ways[amount]

print(count_ways(200, [1, 2, 5, 10, 20, 50, 100, 200]))
",5
47,47,32,wrong_output,,45228,,"
def pandigital_products():
    products = set()
    for i in range(1, 10):
        for j in range(1, 10):
            product = i * j
            if len(str(i)) + len(str(j)) + len(str(product)) == 9 and \
               set(str(i)) | set(str(j)) | set(str(product)) == set('123456789'):
                products.add(product)
    return sum(products)
",5
48,48,33,runtime_error,,100,"  File ""/tmp/tmp3jlp8yh2/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def lcm(a, b):
    return a * b // gcd(a, b)

def main():
    # Find the four non-trivial examples of curious fractions
    fractions = [(49, 98), (26, 65), (35, 53), (19, 95)]

    # Calculate the product of the numerators and denominators
    num_product = 1
    denom_product = 1
    for fraction in fractions:
        num_product *= fraction[0]
        denom_product *= fraction[1]

    # Calculate the greatest common divisor of the product of the numerators and the product of the denominators
    gcd_num_denom = gcd(num_product, denom_product)

    # Calculate the least common multiple of the product of the numerators and the product of the denominators
    lcm_num_denom = lcm(num_product, denom_product)

    # Calculate the value of the denominator
    denominator = lcm_",5
49,49,34,timeout_error,,40730,TIMEOUT,"
def sum_of_factorial_digits(n):
    sum = 0
    while n > 0:
        sum += math.factorial(n % 10)
        n //= 10
    return sum

def main():
    n = int(input(""Enter a number: ""))
    if sum_of_factorial_digits(n) == n:
        print(n, ""is a curious number."")
    else:
        print(n, ""is not a curious number."")

if __name__ == ""__main__"":
    main()
",5
50,50,35,no_error,"55
",55,,"
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def is_circular_prime(n):
    s = str(n)
    for i in range(len(s)):
        if not is_prime(int(s[i:] + s[:i])):
            return False
    return True

count = 0
for i in range(2, 1000000):
    if is_circular_prime(i):
        count += 1

print(count)
",5
53,53,36,no_error,"872187
",872187,,"
def is_palindrome(n):
    return str(n) == str(n)[::-1]

def is_palindrome_base2(n):
    return bin(n)[2:] == bin(n)[2:][::-1]

def sum_palindromes(n):
    return sum(filter(is_palindrome_base2, filter(is_palindrome, range(n))))

print(sum_palindromes(1000000))
",5
56,56,37,no_error,"748317
",748317,,"
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def is_truncatable_prime(n):
    if not is_prime(n):
        return False
    s = str(n)
    for i in range(1, len(s)):
        if not is_prime(int(s[:i])) or not is_prime(int(s[i:])):
            return False
    return True

def main():
    sum = 0
    count = 0
    n = 11
    while count < 11:
        if is_truncatable_prime(n):
            sum += n
            count += 1
        n += 2
    print(sum)

if __name__ == ""__main__"":
    main()
",5
58,58,38,runtime_error,,932718654,"  File ""/tmp/tmpdou8ynzh/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def pandigital_multiples(n):
    """"""Return the largest 1 to 9 pandigital 9-digit number that can be formed as the concatenated product of an integer with (1,2,...,n) where n > 1.""""""
    # Generate all pandigital numbers
    pandigitals = set()
    for i in range(1, 10):
        for j in range(1, 10):
            for k in range(1, 10):
                for l in range(1, 10):
                    for m in range(1, 10):
                        for n in range(1, 10):
                            for o in range(1, 10):
                                for p in range(1, 10):
                                    for q in range(1, 10):
                                        pandigitals.add(int(str(i) + str(j) + str(k) + str(l) + str(m) + str(n) + str(o) + str(p) + str(q)))

    # Find the largest pandigital number that can",5
59,59,39,wrong_output,"840 8
",840,,"
def count_solutions(p):
    count = 0
    for a in range(1, p//3 + 1):
        for b in range(a, (p-a)//2 + 1):
            c = p - a - b
            if a**2 + b**2 == c**2:
                count += 1
    return count

max_count = 0
max_p = 0
for p in range(1, 1001):
    count = count_solutions(p)
    if count > max_count:
        max_count = count
        max_p = p

print(max_p, max_count)
",5
60,60,40,runtime_error,,210,"Traceback (most recent call last):
  File ""/tmp/tmpj600iuxc/tmp.py"", line 22, in <module>
    print(champernownes_constant(1000000))
  File ""/tmp/tmpj600iuxc/tmp.py"", line 12, in champernownes_constant
    digit = int(str(i)[i - 1])
IndexError: string index out of range
","
def champernownes_constant(n):
  """"""Returns the value of the expression d1 × d10 × d100 × d1000 × d10000 × d100000 × d1000000 for the first n digits of Champernowne's constant.""""""

  # Initialize the product to 1.
  product = 1

  # Iterate over the first n digits of Champernowne's constant.
  for i in range(1, n + 1):

    # Get the ith digit of Champernowne's constant.
    digit = int(str(i)[i - 1])

    # Multiply the product by the ith digit.
    product *= digit

  # Return the product.
  return product


# Print the value of the expression for the first 1000000 digits of Champernowne's constant.
print(champernownes_constant(1000000))
",5
61,61,41,wrong_output,,7652413,,"
def largest_pandigital_prime(n):
    # Generate all pandigital numbers of length n
    pandigitals = [int(''.join(p)) for p in itertools.permutations(str(n))]

    # Filter out non-prime numbers
    primes = [p for p in pandigitals if is_prime(p)]

    # Return the largest prime
    return max(primes)


def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True
",5
62,62,43,wrong_output,,16695334890,,"
def sub_string_divisibility():
    # Generate all 0 to 9 pandigital numbers
    pandigitals = [int(''.join(p)) for p in permutations('0123456789')]

    # Filter out pandigitals that don't have the desired property
    valid_pandigitals = [p for p in pandigitals if all(int(p[i:i+3]) % (i+1) == 0 for i in range(7))]

    # Return the sum of the valid pandigitals
    return sum(valid_pandigitals)
",5
63,63,44,no_error,"5482660
",5482660,,"
def pentagonal(n):
    return n * (3 * n - 1) // 2

def is_pentagonal(n):
    i = (1 + (1 + 24 * n)**0.5) / 6
    return i == int(i)

def main():
    min_d = float('inf')
    for i in range(1, 10000):
        for j in range(i + 1, 10000):
            s = pentagonal(i) + pentagonal(j)
            d = pentagonal(j) - pentagonal(i)
            if is_pentagonal(s) and is_pentagonal(d):
                min_d = min(min_d, d)
    print(min_d)

if __name__ == '__main__':
    main()
",5
65,65,45,wrong_output,"1
",1533776805,,"
def triangle(n):
    return n * (n + 1) // 2

def pentagonal(n):
    return n * (3 * n - 1) // 2

def hexagonal(n):
    return n * (2 * n - 1)

def main():
    n = 1
    while True:
        t = triangle(n)
        if pentagonal(t) == hexagonal(t):
            print(t)
            break
        n += 1

if __name__ == ""__main__"":
    main()
",5
66,66,46,wrong_output,"9
15
21
25
33
",5777,,"
def goldbach_other_conjecture(n):
  """"""Returns the smallest odd composite number that cannot be written as the sum of a prime and twice a square.""""""
  # Check if n is odd and composite
  if n % 2 == 0 or n == 1:
    return None
  for i in range(3, int(n ** 0.5) + 1, 2):
    if n % i == 0:
      return n
  # If n is prime, then it cannot be written as the sum of a prime and twice a square
  return n

print(goldbach_other_conjecture(9))  # 9
print(goldbach_other_conjecture(15))  # 15
print(goldbach_other_conjecture(21))  # 21
print(goldbach_other_conjecture(25))  # None
print(goldbach_other_conjecture(33))  # 33
",5
67,67,47,wrong_output,"[210, 330, 390, 420]
",134043,,"
def distinct_prime_factors(n):
    """"""Return the first n integers with four distinct prime factors.""""""
    result = []
    i = 2
    while len(result) < n:
        if len(set(prime_factors(i))) == 4:
            result.append(i)
        i += 1
    return result


def prime_factors(n):
    """"""Return the prime factors of n.""""""
    factors = []
    for i in range(2, int(n ** 0.5) + 1):
        while n % i == 0:
            factors.append(i)
            n //= i
    if n > 1:
        factors.append(n)
    return factors


if __name__ == ""__main__"":
    print(distinct_prime_factors(4))
",5
68,68,48,no_error,"9110846700
",9110846700,,"
def self_powers(n):
    return sum(i**i for i in range(1, n+1)) % 10**10

print(self_powers(1000))
",5
71,71,49,runtime_error,,296962999629,"  File ""/tmp/tmphiaw3rx2/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def permutations(arr):
    result = []
    if len(arr) == 1:
        return [arr]
    for i in range(len(arr)):
        el = arr[i]
        rest = arr[:i] + arr[i+1:]
        for perm in permutations(rest):
            result.append([el] + perm)
    return result

def find_sequence():
    for i in range(1000, 10000):
        if is_prime(i):
            for j in range(i+1, 10000):
                if is_prime(j) and j-i == 3330:
                    for k in range(j+1, 10000):
                        if is_prime(k) and k-j == 3330",5
72,72,50,runtime_error,,997651,"  File ""/tmp/tmpkkje6n3i/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def consecutive_prime_sum(n):
  """"""Finds the prime below n that can be written as the sum of the most consecutive primes.""""""

  # Generate a list of all primes below n.
  primes = [2]
  for i in range(3, n):
    is_prime = True
    for prime in primes:
      if i % prime == 0:
        is_prime = False
        break
    if is_prime:
      primes.append(i)

  # Find the longest sum of consecutive primes that adds up to a prime.
  longest_sum = 0
  for i in range(len(primes)):
    sum = 0
    for j in range(i, len(primes)):
      sum += primes[j]
      if sum > n:
        break
      if sum in primes:
        longest_sum = max(longest_sum, j - i + 1)

  # Return the prime that can be written as the sum of the most consecutive primes.
  return primes[longest_sum - 1]


if __name__ == ""__main__"":
  print(",5
73,73,51,runtime_error,,121313,"  File ""/tmp/tmp2abjfrtt/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def prime_digit_replacements(n):
    """"""
    Finds the smallest prime number that, by replacing part of its digits,
    becomes part of an eight prime value family.

    Args:
        n (int): The number of digits in the prime number.

    Returns:
        int: The smallest prime number that, by replacing part of its digits,
        becomes part of an eight prime value family.
    """"""

    # Find all prime numbers with n digits.
    primes = [i for i in range(10 ** (n - 1), 10 ** n) if is_prime(i)]

    # For each prime number, try all possible replacements of the digits.
    for prime in primes:
        for i in range(10):
            # Replace the first digit with i.
            new_prime = int(str(i",15
74,74,52,no_error,"142857
",142857,,"
def find_smallest_integer(n):
    digits = set(str(n))
    for i in range(2, 7):
        if set(str(i * n)) != digits:
            return False
    return True

def main():
    n = 1
    while not find_smallest_integer(n):
        n += 1
    print(n)

if __name__ == ""__main__"":
    main()
",5
76,76,53,no_error,"4075
",4075,,"
from math import factorial

def count_combinations(n, r):
    return factorial(n) // (factorial(r) * factorial(n - r))

def main():
    count = 0
    for n in range(1, 101):
        for r in range(1, n + 1):
            if count_combinations(n, r) > 1000000:
                count += 1
    print(count)

if __name__ == ""__main__"":
    main()
",5
78,78,55,no_error,"249
",249,,"
def is_palindrome(n):
    return str(n) == str(n)[::-1]

def lychrel(n):
    for i in range(50):
        n += int(str(n)[::-1])
        if is_palindrome(n):
            return False
    return True

count = 0
for i in range(1, 10000):
    if lychrel(i):
        count += 1

print(count)
",5
81,81,56,wrong_output,"198
",972,,"
def max_digital_sum(n):
    max_sum = 0
    for i in range(1, n):
        for j in range(1, n):
            sum = i + j
            if sum > max_sum:
                max_sum = sum
    return max_sum

print(max_digital_sum(100))
",5
82,82,57,wrong_output,"0
",153,,"
def count_fractions_with_large_numerator(n):
  """"""Counts the number of fractions in the first n expansions of the continued
  fraction for the square root of 2 that have a numerator with more digits
  than the denominator.

  Args:
    n: The number of expansions to consider.

  Returns:
    The number of fractions with a numerator with more digits than the
    denominator.
  """"""

  # Initialize the continued fraction.
  a = 1
  b = 2
  count = 0

  # Iterate through the expansions.
  for _ in range(n):
    # Calculate the next fraction in the continued fraction.
    a, b = b, a + 2 * b

    # Check if the numerator has more digits than the denominator.
    if len(str(a)) > len(str(b)):
      count += 1

  return count


if __name__ == ""__main__"":
  print(count_fractions_with_large_numerator(1000))
",5
83,83,58,runtime_error,,26241,"  File ""/tmp/tmptjzq8k9l/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def spiral_primes(n):
    """"""Returns the side length of the square spiral for which the ratio of primes along both diagonals first falls below 10%.""""""
    # Initialize the spiral with a side length of 1.
    spiral = [[1]]

    # Keep track of the number of primes along both diagonals.
    prime_count = 0

    # Keep track of the side length of the spiral.
    side_length = 1

    # Keep track of the ratio of primes along both diagonals.
    ratio = 1

    # While the ratio is above 10%, keep adding layers to the spiral.
    while ratio > 0.1:
        # Add a new layer to the spiral.
        spiral = add_layer(spiral)

        # Increment the side length of the spiral.
        side_length += 1

        # Count the number of primes along both diagonals.
        prime_count = count_primes(spiral)

        # Calculate the ratio of primes along both diagonals.
        ratio = prime_count / (2 * side_length - 1)

    # Return the side length of the spiral.",5
84,84,60,runtime_error,,26033,"  File ""/tmp/tmpm6_fqwog/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def prime_pair_sets(n):
    primes = [i for i in range(2, n + 1) if is_prime(i)]
    sets = []
    for i in range(len(primes)):
        for j in range(i + 1, len(primes)):
            if is_prime(int(str(primes[i]) + str(primes[j]))):
                sets.append([primes[i], primes[j]])
    return sets

def lowest_sum_prime_pair_sets(n):
    sets = prime_pair_sets(n)
    min_sum = sum(sets[0])
    for set in sets:
        if sum(set) < min_sum:
            min_sum = sum(set)
    return min_sum

print(lowest_sum_prime_pair_sets(1",20
85,85,61,runtime_error,,28684,"  File ""/tmp/tmp1t_cehku/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def is_cyclic(nums):
    for i in range(len(nums) - 1):
        if nums[i] % 100 != nums[i + 1] // 100:
            return False
    return True

def is_polygonal(num, n):
    if n == 3:
        return (1 + (1 + 8 * num) ** 0.5) % 1 == 0
    elif n == 4:
        return (1 + (1 + 12 * num) ** 0.5) % 1 == 0
    elif n == 5:
        return (1 + (1 + 20 * num) ** 0.5) % 1 == 0
    elif n == 6:
        return (1 + (1 + 24 * num) ** 0.5) % 1 == 0
    elif n == 7:
        return (1 + (1 + 28 * num) ** 0.5) % 1 == 0
    elif n == 8:
        return",20
86,86,62,wrong_output,"512
",127035954683,,"
from itertools import permutations

def is_cube(n):
    return int(n ** (1 / 3)) ** 3 == n

def smallest_cube_with_n_permutations(n):
    for i in range(1, 1000000):
        cube = i ** 3
        perms = set(map(int, map(''.join, permutations(str(cube)))))
        if len(perms & set(range(cube + 1))) == n:
            return cube

print(smallest_cube_with_n_permutations(5))
",15
87,87,63,wrong_output,,49,,"
def powerful_digit_counts(n):
  """"""Returns the number of n-digit positive integers that are also an nth power.""""""

  # Initialize the count to 0.
  count = 0

  # Iterate over all n-digit numbers.
  for i in range(10**n):
    # Check if the number is an nth power.
    if i**n == i:
      # Increment the count.
      count += 1

  # Return the count.
  return count
",5
