,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
20,20,11,runtime_error,,70600674,"  File ""/tmp/tmpn7bngxff/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
grid = """"""
08 02 22 97 38 15 00 40 00 75 04 05 07 78 52 12 50 77 91 08
49 49 99 40 17 81 18 57 60 87 17 40 98 43 69 48 04 56 62 00
81 49 31 73 55 79 14 29 93 71 40 67 53 88 30 03 49 13 36 65
52 70 95 23 04 60 11 42 69 24 68 56 01 32 56 71 37 02 36 91
22 31 16 ",5
21,21,12,no_error,"76576500
",76576500,,"
def triangle_number(n):
    return n * (n + 1) // 2

def num_divisors(n):
    count = 0
    for i in range(1, int(n ** 0.5) + 1):
        if n % i == 0:
            count += 2
    return count

n = 1
while num_divisors(triangle_number(n)) < 500:
    n += 1

print(triangle_number(n))
",5
24,24,13,runtime_error,,5537376230,"  File ""/tmp/tmpdrb0j_yf/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
print(sum(map(int, str(sum(map(int, str(x)) for x in [
    '37107287533902102798797998220837590246510135740250',
    '46376937677490009712648124896970078050417018260538',
    '74324986199524741059474233309513058123726617309629',
    '91942213363574161572522430563301811072406154908250',
    '2306758820",5
25,25,14,no_error,"837799
",837799,,"
def collatz_len(n):
    length = 1
    while n > 1:
        n = 3 * n + 1 if n % 2 else n // 2
        length += 1
    return length

print(max(range(1, 1000000), key=collatz_len))
",5
28,28,15,no_error,"137846528820
",137846528820,,"
def lattice_paths(n):
    # Create a 2D array to store the number of paths to each cell
    paths = [[0 for _ in range(n+1)] for _ in range(n+1)]

    # Initialize the top and left edges with 1 path each
    for i in range(n+1):
        paths[i][0] = 1
        paths[0][i] = 1

    # Calculate the number of paths to each cell
    for i in range(1, n+1):
        for j in range(1, n+1):
            paths[i][j] = paths[i-1][j] + paths[i][j-1]

    # Return the number of paths to the bottom right corner
    return paths[n][n]

print(lattice_paths(20))
",5
31,31,16,no_error,"1366
",1366,,"
def power_digit_sum(base, exponent):
    return sum(map(int, str(base ** exponent)))

print(power_digit_sum(2, 1000))
",5
34,34,17,runtime_error,,21124,"  File ""/tmp/tmp8m8mlzzo/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def number_letter_counts(n):
    if n < 0:
        raise ValueError(""n must be non-negative"")

    # Special cases
    if n == 0:
        return 0
    elif n == 1:
        return 3
    elif n == 2:
        return 3
    elif n == 3:
        return 5
    elif n == 4:
        return 4
    elif n == 5:
        return 4
    elif n == 6:
        return 3
    elif n == 7:
        return 5
    elif n == 8:
        return 5
    elif n == 9:
        return 4
    elif n == 10:
        return 3
    elif n == 11:
        return 6
    elif n == 12:
        return 6
    elif n == 13:
        return 8
    elif n == 14:
        return 8
    elif n == 15:
        return 7
    elif n ==",5
35,35,18,runtime_error,,1074,"  File ""/tmp/tmpzqzvus3x/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def max_path_sum(triangle):
    n = len(triangle)
    dp = [[0] * i for i in range(1, n + 1)]
    dp[n - 1] = triangle[n - 1]
    for i in range(n - 2, -1, -1):
        for j in range(i + 1):
            dp[i][j] = triangle[i][j] + max(dp[i + 1][j], dp[i + 1][j + 1])
    return dp[0][0]

triangle = [[75],
           [95, 64],
           [17, 47, 82],
           [18, 35, 87, 10],
           [20, 04, 82, 47, 65],
           [19, 01, 23, 75, 03, 34],
           [88, 02, 77, 73, 07, ",5
36,36,19,runtime_error,,171,"Traceback (most recent call last):
  File ""/tmp/tmpidp9s4si/tmp.py"", line 17, in <module>
    print(count_sundays(1901, 2000))
  File ""/tmp/tmpidp9s4si/tmp.py"", line 13, in count_sundays
    if (datetime.date(year, month, 1).weekday() + 1) % 7 == 0:
NameError: name 'datetime' is not defined
","
def is_leap_year(year):
    return year % 4 == 0 and (year % 100 != 0 or year % 400 == 0)

def count_sundays(start_year, end_year):
    sundays = 0
    for year in range(start_year, end_year + 1):
        for month in range(1, 13):
            if is_leap_year(year) and month == 2:
                days_in_month = 29
            else:
                days_in_month = [31, 28, 31, 30, 31, 30, 31, 31, 30, 31, 30, 31][month - 1]
            if (datetime.date(year, month, 1).weekday() + 1) % 7 == 0:
                sundays += 1
    return sundays

print(count_sundays(1901, 2000))
",5
37,37,20,runtime_error,,648,"Traceback (most recent call last):
  File ""/tmp/tmp2u4qb8i6/tmp.py"", line 5, in <module>
    print(factorial_digit_sum(100))
  File ""/tmp/tmp2u4qb8i6/tmp.py"", line 3, in factorial_digit_sum
    return sum(map(int, str(math.factorial(n))))
NameError: name 'math' is not defined
","
def factorial_digit_sum(n):
    return sum(map(int, str(math.factorial(n))))

print(factorial_digit_sum(100))
",5
38,38,21,wrong_output,"0
",31626,,"
def sum_of_amicable_numbers(n):
  amicable_numbers = set()
  for i in range(2, n):
    j = sum(proper_divisors(i))
    if j < n and i == sum(proper_divisors(j)):
      amicable_numbers.add(i)
      amicable_numbers.add(j)
  return sum(amicable_numbers)

def proper_divisors(n):
  divisors = set()
  for i in range(1, int(n ** 0.5) + 1):
    if n % i == 0:
      divisors.add(i)
      divisors.add(n // i)
  return divisors

print(sum_of_amicable_numbers(10000))
",5
39,39,23,no_error,"4179871
",4179871,,"
def sum_of_proper_divisors(n):
    divisors = [1]
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors.append(i)
            if i != n // i:
                divisors.append(n // i)
    return sum(divisors)

def is_abundant(n):
    return sum_of_proper_divisors(n) > n

def main():
    abundants = [n for n in range(1, 28124) if is_abundant(n)]
    sums = set(a + b for a in abundants for b in abundants)
    print(sum(set(range(1, 28124)) - sums))

if __name__ == '__main__':
    main()
",5
41,41,24,no_error,"2783915460
",2783915460,,"
from itertools import permutations

def millionth_permutation(digits):
    return ''.join(map(str, list(permutations(digits))[999999]))

print(millionth_permutation([0, 1, 2, 3, 4, 5, 6, 7, 8, 9]))
",5
44,44,25,no_error,"4782
",4782,,"
def fib(n):
    a, b = 0, 1
    for i in range(n):
        a, b = b, a + b
    return a

def main():
    n = 1
    while len(str(fib(n))) < 1000:
        n += 1
    print(n)

if __name__ == '__main__':
    main()
",5
45,45,26,no_error,"983
",983,,"
def cycle_length(n):
    seen = set()
    r = 1
    while r not in seen:
        seen.add(r)
        r = (r * 10) % n
    return len(seen)

print(max(range(1, 1000), key=cycle_length))
",5
47,47,27,no_error,"-59231
",-59231,,"
import math

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

def quadratic_primes(a, b):
    n = 0
    while True:
        if not is_prime(n * n + a * n + b):
            return n
        n += 1

def main():
    max_n = 0
    max_a = 0
    max_b = 0
    for a in range(-999, 1000):
        for b in range(-1000, 1001):
            n = quadratic_primes(a, b)
            if n > max_n:
                max_n = n
                max_a = a
                max_b = b
    print(max_a * max_b)

if __name__ == ""__main__"":
    main()
",5
49,49,28,wrong_output,,669171001,,"
def spiral_diagonals_sum(n):
    """"""
    >>> spiral_diagonals_sum(5)
    101
    >>> spiral_diagonals_sum(1001)
    669171001
    """"""
    if n == 1:
        return 1
    return 4 * n * n - 6 * (n - 1)
",5
50,50,29,no_error,"9183
",9183,,"
def distinct_powers(a_max, b_max):
    powers = set()
    for a in range(2, a_max + 1):
        for b in range(2, b_max + 1):
            powers.add(a ** b)
    return len(powers)

print(distinct_powers(100, 100))
",5
53,53,30,no_error,"443839
",443839,,"
def fifth_power_sum(n):
    return sum(int(d)**5 for d in str(n))

print(sum(n for n in range(2, 1000000) if n == fifth_power_sum(n)))
",5
56,56,31,no_error,"73682
",73682,,"
def count(target, coins):
    ways = [1] + [0] * target
    for coin in coins:
        for i in range(coin, target + 1):
            ways[i] += ways[i - coin]
    return ways[target]

print(count(200, [1, 2, 5, 10, 20, 50, 100, 200]))
",5
59,59,32,wrong_output,,45228,,"
def pandigital_products():
    products = set()
    for i in range(1, 10):
        for j in range(1000, 10000):
            product = i * j
            if len(str(i) + str(j) + str(product)) == 9 and set(str(i) + str(j) + str(product)) == set('123456789'):
                products.add(product)
    return sum(products)
",5
60,60,33,no_error,"100
",100,,"
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def lcm(a, b):
    return a * b // gcd(a, b)

def main():
    num, denom = 1, 1
    for i in range(11, 100):
        for j in range(i + 1, 100):
            if i % 10 == 0 or j % 10 == 0:
                continue
            if i // 10 == j // 10 or i // 10 == j % 10 or i % 10 == j // 10:
                if i / j == (i // 10) / (j % 10):
                    num *= i
                    denom *= j
    print(denom // gcd(num, denom))

if __name__ == '__main__':
    main()
",5
61,61,34,no_error,"40730
",40730,,"
from math import factorial

def digit_factorials():
    factorials = [factorial(i) for i in range(10)]
    for i in range(3, 1000000):
        if i == sum(factorials[int(d)] for d in str(i)):
            yield i

print(sum(digit_factorials()))
",5
64,64,35,no_error,"55
",55,,"
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def is_circular_prime(n):
    s = str(n)
    for i in range(len(s)):
        if not is_prime(int(s[i:] + s[:i])):
            return False
    return True

count = 0
for i in range(2, 1000000):
    if is_circular_prime(i):
        count += 1

print(count)
",5
67,67,36,wrong_output,,872187,,"
def is_palindrome(n):
    return str(n) == str(n)[::-1]

def is_palindrome_bin(n):
    return bin(n)[2:] == bin(n)[2:][::-1]

sum(n for n in range(1000000) if is_palindrome(n) and is_palindrome_bin(n))
",5
68,68,37,no_error,"748317
",748317,,"
def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def is_truncatable_prime(n):
    if not is_prime(n):
        return False
    s = str(n)
    for i in range(1, len(s)):
        if not is_prime(int(s[i:])) or not is_prime(int(s[:i])):
            return False
    return True

print(sum(filter(is_truncatable_prime, range(11, 1000000))))
",5
71,71,38,runtime_error,,932718654,"  File ""/tmp/tmpfmoze54j/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def pandigital_multiples(n):
    """"""
    Find the largest 1 to 9 pandigital 9-digit number that can be formed as the concatenated product of an integer with (1,2, ... , n) where n > 1.

    Args:
        n (int): The maximum number of factors to use in the concatenated product.

    Returns:
        int: The largest 1 to 9 pandigital 9-digit number that can be formed as the concatenated product of an integer with (1,2, ... , n) where n > 1.
    """"""

    # Check if n is valid
    if n < 2:
        raise ValueError(""n must be greater than 1"")

    # Initialize the largest pandigital number
    largest_pandigital = 0

    # Iterate over all integers from 1 to 999999999
    for i in range(1, 1000000000):
        # Initialize the concatenated product
        concatenated_product = """"

        # Iterate over all factors from 1 to n
        for",5
72,72,39,no_error,"840
",840,,"
def count_solutions(p):
    count = 0
    for a in range(1, p // 3 + 1):
        for b in range(a, (p - a) // 2 + 1):
            c = p - a - b
            if a * a + b * b == c * c:
                count += 1
    return count

max_count = 0
max_p = 0
for p in range(1, 1001):
    count = count_solutions(p)
    if count > max_count:
        max_count = count
        max_p = p

print(max_p)
",5
75,75,40,no_error,"210
",210,,"
def champernowne(n):
    s = ''
    i = 1
    while len(s) < n:
        s += str(i)
        i += 1
    return int(s[n-1])

print(champernowne(1)*champernowne(10)*champernowne(100)*champernowne(1000)*champernowne(10000)*champernowne(100000)*champernowne(1000000))
",5
77,77,41,runtime_error,,7652413,"Traceback (most recent call last):
  File ""/tmp/tmpzqj9331e/tmp.py"", line 19, in <module>
    print(pandigital_prime(9))
  File ""/tmp/tmpzqj9331e/tmp.py"", line 4, in pandigital_prime
    pandigitals = [int(''.join(p)) for p in itertools.permutations(str(n))]
NameError: name 'itertools' is not defined
","
def pandigital_prime(n):
    # Generate all pandigital numbers
    pandigitals = [int(''.join(p)) for p in itertools.permutations(str(n))]
    # Filter out non-prime numbers
    primes = [p for p in pandigitals if is_prime(p)]
    # Return the largest prime
    return max(primes)

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

if __name__ == '__main__':
    print(pandigital_prime(9))
",5
78,78,43,wrong_output,,16695334890,,"
def sub_string_divisibility():
    # Generate all 0 to 9 pandigital numbers
    pandigitals = [int(''.join(p)) for p in permutations('0123456789')]

    # Check each pandigital number for the sub-string divisibility property
    sum = 0
    for pandigital in pandigitals:
        if all(int(str(pandigital)[i:i+3]) % (i+2) == 0 for i in range(1, 8)):
            sum += pandigital

    return sum
",5
79,79,44,no_error,"5482660
",5482660,,"
def pentagonal(n):
    return n * (3 * n - 1) // 2

def is_pentagonal(n):
    if n < 1:
        return False
    x = (1 + 24 * n) ** 0.5
    return x.is_integer() and (x + 1) % 6 == 0

def main():
    min_diff = float('inf')
    for j in range(1, 10000):
        pj = pentagonal(j)
        for k in range(j + 1, 10000):
            pk = pentagonal(k)
            diff = abs(pk - pj)
            if is_pentagonal(pj + pk) and is_pentagonal(diff):
                min_diff = min(min_diff, diff)
    print(min_diff)

if __name__ == '__main__':
    main()
",5
81,81,45,timeout_error,,1533776805,TIMEOUT,"
def triangle(n):
    return n * (n + 1) // 2

def pentagonal(n):
    return n * (3 * n - 1) // 2

def hexagonal(n):
    return n * (2 * n - 1)

def main():
    n = 286
    while True:
        t = triangle(n)
        if pentagonal(n) == t and hexagonal(n) == t:
            print(t)
            break
        n += 1

if __name__ == '__main__':
    main()
",5
82,82,46,no_error,"5777
",5777,,"
from math import sqrt

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

def goldbach_other_conjecture(n):
    for i in range(3, n, 2):
        if not is_prime(i):
            for j in range(1, int(sqrt(n / 2)) + 1):
                if is_prime(i - 2 * j * j):
                    break
            else:
                return i
    return None

print(goldbach_other_conjecture(100000))
",5
84,84,47,no_error,"134043
",134043,,"
def distinct_prime_factors(n):
    factors = set()
    while n % 2 == 0:
        factors.add(2)
        n //= 2
    for i in range(3, int(n ** 0.5) + 1, 2):
        while n % i == 0:
            factors.add(i)
            n //= i
    if n > 2:
        factors.add(n)
    return len(factors)

def main():
    n = 1
    while True:
        if distinct_prime_factors(n) == 4 and distinct_prime_factors(n + 1) == 4 and distinct_prime_factors(n + 2) == 4 and distinct_prime_factors(n + 3) == 4:
            print(n)
            break
        n += 1

if __name__ == '__main__':
    main()
",5
87,87,48,no_error,"9110846700
",9110846700,,"
def self_powers(n):
    return sum(i**i for i in range(1, n+1)) % 10**10

print(self_powers(1000))
",5
90,90,49,wrong_output,"148748178147
",296962999629,,"
from itertools import permutations

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def main():
    for perm in permutations('1487'):
        n = int(''.join(perm))
        if is_prime(n) and is_prime(n + 3330) and is_prime(n + 6660):
            print(str(n) + str(n + 3330) + str(n + 6660))
            break

if __name__ == '__main__':
    main()
",5
91,91,50,no_error,"997651
",997651,,"
import math
import itertools

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

def main():
    primes = [2, 3, 5, 7]
    for i in range(11, 1000000, 2):
        if is_prime(i):
            primes.append(i)

    max_length = 0
    max_prime = 0
    for i in range(len(primes)):
        for j in range(i + 1, len(primes)):
            s = sum(primes[i:j])
            if s > 1000000:
                break
            if is_prime(s) and j - i > max_length:
                max_length = j - i
                max_prime = s

    print(max_prime)

if __name__ == ""__main__"":
    main()
",5
93,93,51,runtime_error,,121313,"  File ""/tmp/tmphs0f67ky/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def prime_digit_replacements(n):
    """"""
    Finds the smallest prime which, by replacing part of the number
    (not necessarily adjacent digits) with the same digit, is part
    of an eight prime value family.

    Args:
        n (int): The maximum number to check.

    Returns:
        int: The smallest prime which is part of an eight prime value family.
    """"""

    # Find all primes up to n.
    primes = [2]
    for i in range(3, n + 1):
        is_prime = True
        for prime in primes:
            if i % prime == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(i)

    # Check each prime to see if it is part of an eight prime value family.
    for prime in primes:
        # Convert the prime to a string.
        prime_str = str(prime)

        # Check each digit of the prime to see if it can be replaced with
        # another digit to create a new prime.
        for i in range(",15
94,94,52,no_error,"142857
",142857,,"
def permuted_multiples(n):
    digits = set(str(n))
    for i in range(2, 7):
        if set(str(i * n)) != digits:
            return False
    return True

for i in range(1, 1000000):
    if permuted_multiples(i):
        print(i)
        break
",5
97,97,53,no_error,"4075
",4075,,"
from math import factorial

def main():
    count = 0
    for n in range(1, 101):
        for r in range(1, n + 1):
            if factorial(n) // factorial(r) // factorial(n - r) > 1000000:
                count += 1
    print(count)

if __name__ == '__main__':
    main()
",5
100,100,55,no_error,"249
",249,,"
def is_lychrel(n):
    for i in range(50):
        n += int(str(n)[::-1])
        if str(n) == str(n)[::-1]:
            return False
    return True

print(sum(is_lychrel(i) for i in range(10000)))
",5
103,103,56,no_error,"972
",972,,"
def max_digital_sum(a, b):
    max_sum = 0
    for i in range(1, a + 1):
        for j in range(1, b + 1):
            sum = 0
            n = i ** j
            while n > 0:
                sum += n % 10
                n //= 10
            if sum > max_sum:
                max_sum = sum
    return max_sum

print(max_digital_sum(99, 99))
",5
105,105,57,wrong_output,"0
",153,,"
def count_large_numerators(limit):
    n, d = 1, 2
    count = 0
    for _ in range(limit):
        n, d = d, n + d
        if len(str(n)) > len(str(d)):
            count += 1
    return count

print(count_large_numerators(1000))
",5
106,106,58,runtime_error,,26241,"  File ""/tmp/tmpy7dwo9j4/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from math import sqrt
from itertools import count, islice, chain
from collections import deque

def primes():
    yield 2
    yield 3
    yield 5
    yield 7
    yield 11
    yield 13
    yield 17
    yield 19
    yield 23
    yield 29
    yield 31
    yield 37
    yield 41
    yield 43
    yield 47
    yield 53
    yield 59
    yield 61
    yield 67
    yield 71
    yield 73
    yield 79
    yield 83
    yield 89
    yield 97
    yield 101
    yield 103
    yield 107
    yield 109
    yield 113
    yield 127
    yield 131
    yield 137
    yield 139
    yield 149
    yield 151
    yield 157",5
107,107,60,timeout_error,,26033,TIMEOUT,"
from itertools import combinations
from math import sqrt

def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True

def is_prime_pair(a, b):
    return is_prime(int(str(a) + str(b))) and is_prime(int(str(b) + str(a)))

def main():
    primes = [p for p in range(2, 10000) if is_prime(p)]
    for c in combinations(primes, 5):
        if all(is_prime_pair(a, b) for a, b in combinations(c, 2)):
            print(sum(c))
            break

if __name__ == '__main__':
    main()
",20
108,108,61,runtime_error,,28684,"  File ""/tmp/tmpfy41er5z/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
from itertools import permutations

def p3(n):
    return int(n * (n + 1) / 2)

def p4(n):
    return int(n * n)

def p5(n):
    return int(n * (3 * n - 1) / 2)

def p6(n):
    return int(n * (2 * n - 1))

def p7(n):
    return int(n * (5 * n - 3) / 2)

def p8(n):
    return int(n * (3 * n - 2))

def is_cyclic(nums):
    for i in range(len(nums) - 1):
        if nums[i] % 100 != nums[i + 1] // 100:
            return False
    return nums[0] % 100 == nums[-1] // 100

def main():
    nums = list(range(1, 100))
    for perm in permutations(nums, 6):
        if is_cyclic(",20
109,109,62,syntax_error,,127035954683,"  File ""/tmp/tmpdz605fi6/tmp.py"", line 10
    perms = set(map(int, ''.join(p) for p in permutations(str(cube))))
                         ^
SyntaxError: Generator expression must be parenthesized
","
from itertools import permutations

def is_cube(n):
    return int(n ** (1 / 3)) ** 3 == n

def main():
    for i in range(1, 1000000):
        cube = i ** 3
        perms = set(map(int, ''.join(p) for p in permutations(str(cube))))
        if len(perms & {is_cube(p) for p in perms}) == 5:
            print(cube)
            break

if __name__ == '__main__':
    main()
",15
110,110,63,wrong_output,,49,,"
def powerful_digit_counts(n):
    """"""
    Returns the number of n-digit positive integers which are also an nth power.
    """"""
    # The maximum nth power that can have n digits is n^n.
    max_power = n ** n
    # The minimum nth power that can have n digits is n^(n-1).
    min_power = n ** (n - 1)
    # The number of n-digit positive integers is the difference between the
    # maximum and minimum nth powers.
    return max_power - min_power + 1
",5
111,111,64,timeout_error,,1322,TIMEOUT,"
from math import sqrt

def odd_period_square_roots(limit):
    count = 0
    for n in range(2, limit + 1):
        if int(sqrt(n))**2 == n:
            continue
        period = 0
        m = 0
        d = 1
        a = int(sqrt(n))
        while True:
            m = d * a - m
            d = (n - m**2) // d
            a = (a + m) // d
            period += 1
            if a == 2 * int(sqrt(n)):
                break
        if period % 2 == 1:
            count += 1
    return count

print(odd_period_square_roots(10000))
",20
112,112,65,wrong_output,"162
",272,,"
def sum_digits(n):
    return sum(int(d) for d in str(n))

def e_convergents(n):
    a, b, c, d = 2, 1, 1, 0
    for _ in range(n):
        a, b, c, d = c, d, a + 2 * c, b + d
    return a, b

print(sum_digits(e_convergents(99)[0]))
",15
113,113,66,wrong_output,"2
",661,,"
def diophantine(limit):
    max_x = 0
    max_d = 0
    for d in range(2, limit + 1):
        if int(d ** 0.5) ** 2 == d:
            continue
        x = 1
        while True:
            if x ** 2 - d * (x // d) ** 2 == 1:
                if x > max_x:
                    max_x = x
                    max_d = d
                break
            x += 1
    return max_d

print(diophantine(1000))
",25
114,114,68,runtime_error,,6531031914842725,"  File ""/tmp/tmpujxgyso4/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def magic_5gon_ring():
    """"""
    Finds the maximum 16-digit string for a ""magic"" 5-gon ring.
    """"""
    # Generate all possible 5-gon rings.
    rings = []
    for i in range(1, 11):
        for j in range(1, 11):
            for k in range(1, 11):
                for l in range(1, 11):
                    for m in range(1, 11):
                        if i + j + k == 10 and j + k + l == 10 and k + l + m == 10 and l + m + i == 10 and m + i + j == 10:
                            rings.append([i, j, k, l, m])

    # Find the maximum 16-digit string for each ring.
    max_strings = []
    for ring in rings:
        max_string = """"
        for i in range(5):
            max_string += str(max(ring[i], ring[(i + ",25
115,115,69,no_error,"510510
",510510,,"
from math import gcd

def totient(n):
    result = n
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            while n % i == 0:
                n //= i
            result -= result // i
    if n > 1:
        result -= result // n
    return result

def main():
    max_n = 0
    max_ratio = 0
    for n in range(2, 1000001):
        ratio = n / totient(n)
        if ratio > max_ratio:
            max_ratio = ratio
            max_n = n
    print(max_n)

if __name__ == '__main__':
    main()
",10
118,118,70,timeout_error,,8319823,TIMEOUT,"
from itertools import permutations

def totient(n):
    result = n
    p = 2
    while p * p <= n:
        if n % p == 0:
            while n % p == 0:
                n //= p
            result -= result // p
        p += 1
    if n > 1:
        result -= result // n
    return result

def main():
    min_ratio = float('inf')
    min_n = 0
    for n in range(2, 10**7):
        phi = totient(n)
        if sorted(str(n)) == sorted(str(phi)):
            ratio = n / phi
            if ratio < min_ratio:
                min_ratio = ratio
                min_n = n
    print(min_n)

if __name__ == '__main__':
    main()
",20
119,119,71,timeout_error,,428570,TIMEOUT,"
from fractions import Fraction

def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def main():
    limit = 1000000
    fractions = [Fraction(n, d) for n in range(1, limit) for d in range(n + 1, limit + 1) if gcd(n, d) == 1]
    fractions.sort()
    print(fractions[fractions.index(Fraction(3, 7)) - 1].numerator)

if __name__ == '__main__':
    main()
",10
120,120,72,timeout_error,,303963552391,TIMEOUT,"
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a

def count_fractions(limit):
    count = 0
    for d in range(2, limit + 1):
        for n in range(1, d):
            if gcd(n, d) == 1:
                count += 1
    return count

print(count_fractions(1000000))
",20
121,121,73,runtime_error,,7295372,"Traceback (most recent call last):
  File ""/tmp/tmp0g_8uq2g/tmp.py"", line 12, in <module>
    print(count_fractions(Fraction(1, 3), Fraction(1, 2)))
  File ""/tmp/tmp0g_8uq2g/tmp.py"", line 6, in count_fractions
    for d in range(2, end + 1):
TypeError: 'Fraction' object cannot be interpreted as an integer
","
from fractions import Fraction

def count_fractions(start, end):
    count = 0
    for d in range(2, end + 1):
        for n in range(1, d):
            if Fraction(n, d) > start and Fraction(n, d) < end:
                count += 1
    return count

print(count_fractions(Fraction(1, 3), Fraction(1, 2)))
",15
